 W A T E R B O D Y N A M E, C O U N T Y O R C O U N T I E S, L I S T E D F O R A Q U A T I C I N V A S I V E S P E C I E S, Y E A R L I S T E D A S I N F E S T E D, Y E A R S P E C I E S W A S F I R S T C O N F I R M E D O R C O N N E C T E D, D O W N U M B E R
Bishop Creek between North Long and Round (also known as Sugar Bush Creek),Crow Wing,zebra mussel,2015,connected to North Long (18-0372),
Bishop Creek between Round and Gull,Crow Wing,zebra mussel,2010,2013,
Black Bear,Crow Wing,zebra mussel,2006,connected to Mississippi River,18014000
Black River the south branch downstream of Highway 11 and the west branch downstream of Highway 147,Koochiching,spiny waterflea,2007,connected to Rainy River,
Black River the south branch downstream of Highway 11 and the west branch downstream of Highway 147,Koochiching,spiny waterflea,2007,Connected to Rainy River,
Blackduck,Beltrami,faucet snail,2018,2018,4006900
Blackhawk,Dakota,Eurasian watermilfoil,2017,2014,19005900
Blacks,Sherburne,zebra mussel,2021,connected to Big (71008200),71009700
Blackwater,Itasca,faucet snail,2016,2016,31056100
Blackwell,Douglas,zebra mussel,2021,2021,21015100
Blanche,Otter Tail,zebra mussel,2018,connected to Molly Stark and Annie Battle,56024000
Bloody,Murray,zebra mussel,2022,connected to Shetek (51-0046),51004000
Blueberry,Wadena,faucet snail,2018,2018,80003400
Bolfing,Stearns,zebra mussel,2017,connected to Knaus (73-0086),73008800
Bone,Washington,Eurasian watermilfoil,2007,2006,82005400
Bone,Washington,zebra mussel,2019,2019,82005400
Boom,Crow Wing,zebra mussel,2006,connected to Mississippi River,18052900
Bottle,St. Louis,spiny waterflea,2014,connected to Basswood (38-0645),69106400
Bottle River between Bottle Lake and Lac La Croix,St. Louis,spiny waterflea,2014,connected to Basswood (38-0645),
Boulder,Hubbard,faucet snail,2020,2020,29016200
Bowen,Cass,starry stonewort,2022,2022,11035000
Bowstring,Itasca,faucet snail,2015,2012,31081300
Bowstring,Itasca,zebra mussel,2020,2020,31081300
Bowstring River from Sand downstream to Rice ,Itasca,zebra mussel,2013,2014,
Breckenridge,Wilkin,zebra mussel,2013,2015,84002300
Bridge,Dakota,Eurasian watermilfoil,2016,2016,19017900
Brophy ,Douglas,zebra mussel,2011,2010,21010200
Brown,Otter Tail,zebra mussel,2019,connected to West McDonald (56-0386-02),56162800
Brownie,Hennepin,Eurasian watermilfoil,1995,1991,27003800
