 W A T E R B O D Y N A M E, C O U N T Y O R C O U N T I E S, L I S T E D F O R A Q U A T I C I N V A S I V E S P E C I E S, Y E A R L I S T E D A S I N F E S T E D, Y E A R S P E C I E S W A S F I R S T C O N F I R M E D O R C O N N E C T E D, D O W N U M B E R
Hunt,Rice,Eurasian watermilfoil,2015,2015,66004700
Huntington Mine,Crow Wing,zebra mussel,2016,2016,18044100
Husen Marsh,Jackson,bighead carp,2012,connected water,32004200
Husen Marsh,Jackson,silver carp,2012,connected water,32004200
Hydes,Carver,Eurasian watermilfoil,2014,2012,10008800
Ice,Itasca,Eurasian watermilfoil,1999,1999,31037200
Ida,Becker,zebra mussel,2015,2015,3058200
Ida,Douglas,zebra mussel,2013,2014,21012300
Illinois,Jackson,bighead carp,2012,connected water,32007200
Illinois,Jackson,silver carp,2012,connected water,32007200
Independence,Hennepin,Eurasian watermilfoil,1995,1989,27017600
Independence,Hennepin,zebra mussel,2014,2014,27017600
Indian,Nobles,bighead carp,2012,connected water,53000700
Indian,Douglas,Eurasian watermilfoil,2018,2018,21013600
Indian,Wright,Eurasian watermilfoil,2004,2003,86022300
Indian,Nobles,silver carp,2012,connected water,53000700
Indian,Otter Tail,zebra mussel,2019,connected to West McDonald (56-0386-02),56032700
Irene,Douglas,zebra mussel,2012,2011,21007600
Iron,St. Louis,spiny waterflea,2014,connected to Basswood (38-0645),69012100
Irving,Beltrami,zebra mussel,2018,connected to Bemidji (04-0130),4014000
Isabelle,Dakota,zebra mussel,2018,2018,19000400
Island,Anoka,Eurasian watermilfoil,2022,2022,2002200
Island,Ramsey,Eurasian watermilfoil,1995,1991,62007500
Island,St. Louis,spiny waterflea,1995,1990,69037200
Island,Crow Wing,zebra mussel,2014,2013,18026900
Jane,Washington,Eurasian watermilfoil,2012,2012,82010400
Jay Gould,Itasca,zebra mussel,2019,connected to Blandin Reservoir (31-0533),31056500
Jefferson,Le Sueur,Eurasian watermilfoil,2015,,40009201
Jefferson,Le Sueur,Eurasian watermilfoil,2015,,40009202
Jefferson,Le Sueur,Eurasian watermilfoil,2015,,40009203
Jefferson,Le Sueur,Eurasian watermilfoil,2015,,40009204
Jessie,Douglas,zebra mussel,2009,2016,21005500
Jewett,Otter Tail,zebra mussel,2018,2018,56087700
Johanna,Ramsey,Eurasian watermilfoil,2016,2016,62007800
Johanna,Ramsey,zebra mussel,2018,2018,62007800
John,Wright,Eurasian watermilfoil,2011,2011,86028800
John,Wright,zebra mussel,2015,2015,86028800
Johnson Creek from the Rainy River upstream to 500 feet beyond the first road crossing,Lake of the Woods,spiny waterflea,2007,connected to Rainy River,
Jolly Ann,Otter Tail,zebra mussel,2020,connected to Eagle (56-0253),56037000
Jonathan,Carver,Eurasian watermilfoil,2016,2016,10021700
Josephine,Ramsey,Eurasian watermilfoil,2013,2012,62005700
Judicial Ditch No. 35 from S14 T102N R36W to Rush,Jackson,bighead carp,2012,connected water,
Judicial Ditch No. 35 from S14 T102N R36W to Rush,Jackson,silver carp,2012,connected water,
Judicial Ditch No. 8 between Clear and Loon,Jackson,bighead carp,2012,connected water,
Judicial Ditch No. 8 between Clear and Loon,Jackson,silver carp,2012,connected water,
Judicial ditches connected to designated infested waters in Jackson County,Jackson,bighead carp,2012,connected water,
Judicial ditches connected to designated infested waters in Jackson County,Jackson,bighead carp,2012,connected water,
Judicial ditches connected to designated infested waters in Jackson County,Jackson,silver carp,2012,connected water,
Judicial ditches connected to designated infested waters in Jackson County,Jackson,silver carp,2012,connected water,
Juergens,Todd,zebra mussel,2017,connected to Guernsey (77-0182),77016300
Kabetogama,St. Louis,spiny waterflea,2007,2007,69084500
Keller,Dakota,Eurasian watermilfoil,2006,2005,19002500
Keller,Ramsey,Eurasian watermilfoil,1995,1995,62001000
Kelser's Pond,Carver,Eurasian watermilfoil,2009,2008,10004700
Kerbs,Otter Tail,zebra mussel,2013,2012,56163600
Kimball,Crow Wing,Eurasian watermilfoil,2007,2007,18036100
Kimball,Crow Wing,zebra mussel,2016,2016,18036100
Kitchi,Beltrami,zebra mussel,2014,connected to Cass (04-0030),4000700
Knaus,Stearns,zebra mussel,2017,2017,73008600
Knife,Kanabec,Eurasian watermilfoil,1995,1990,33002800
Knife,Kanabec,faucet snail,2016,2016,33002800
Kohlmans,Ramsey,Eurasian watermilfoil,2000,2000,62000600
Koronis,Stearns,zebra mussel,2022,2022,73020000
Koronis (includes Mud),Stearns,starry stonewort,2015,2015,73020000
Koronis (main lake),Stearns,starry stonewort,2015,2015,73020000
Krays,Stearns,zebra mussel,2017,connected to Knaus (73-0086),73008700
Kroon,Chisago,Eurasian watermilfoil,2021,2021,13001300
Lac La Croix,St. Louis,spiny waterflea,2009,2008,69022400
Lac Lavon,Dakota,brittleleaf naiad,2007,2003,19044600
Lac Lavon,Dakota,Eurasian watermilfoil,1995,1988,19044600
Lake of the Isles,Hennepin,Eurasian watermilfoil,2007,1988,27004000
Lake of the Woods,Lake of the Woods,spiny waterflea,2007,infested waters listing includes the portions of Zipple Bay to Zipple Creek in S9 and S10 T162N R33W and to Bostic Creek at County Highway 8,39000200
Lake of the Woods,Lake of the Woods,spiny waterflea,2007,,
Lake of the Woods,Lake of the Woods,spiny waterflea,2007,,
Lake of the Woods,Lake of the Woods,zebra mussel,2019,2019,39000200
Lakewood Cemetery,Hennepin,Eurasian watermilfoil,2007,2006,27001700
Langdon,Hennepin,Eurasian watermilfoil,2019,2018,27018200
Langton,Ramsey,Eurasian watermilfoil,2008,2007,62004900
Latoka,Douglas,zebra mussel,2014,2013,21010600
Le Homme Dieu,Douglas,Eurasian watermilfoil,2012,2012,21005600
Le Homme Dieu,Douglas,zebra mussel,2009,2009,21005600
Leech,Cass,Eurasian watermilfoil,2005,2004,11020300
Leech,Cass,starry stonewort,2021,2021,11020300
Leech,Cass,zebra mussel,2016,2016,11020300
Leech Lake River between Mud Lake and Mississippi River,Cass,faucet snail,2010,2010,
Leek,Otter Tail,zebra mussel,2021,2021,56053202
Leif,Becker,zebra mussel,2021,2021,3057500
Leven,Pope,zebra mussel,2021,2021,61006600
Libbs,Hennepin,Eurasian watermilfoil,1995,1988,27008500
Libbs,Hennepin,zebra mussel,2012,connected to Minnetonka (27-0133),27008500
Lida (North and South),Otter Tail,zebra mussel,2014,2013,56074701
Lida (North and South),Otter Tail,zebra mussel,2014,2015,56074702
Limestone,Wright,zebra mussel,2022,2022,86016300
Linn,Chisago,Eurasian watermilfoil,2022,2022,13001400
Linwood,Anoka,Eurasian watermilfoil,2014,2014,2002600
Little,Chisago,Eurasian watermilfoil,2022,2022,13003300
Little Birch,Todd,Eurasian watermilfoil,2004,2003,77008900
Little Birch,Todd,zebra mussel,2016,2017,77008900
Little Chippewa,Douglas,zebra mussel,2017,Connected to Whiskey (21021600),21021200
Little Comfort,Chisago,Eurasian watermilfoil,2021,2021,13005400
Little Comfort,Chisago,zebra mussel,2017,Connected to Comfort (13005300),13005400
Little Cut Foot,Itasca,faucet snail,2009,connected to Winnibigoshish (11-0147),31085200
Little Cut Foot,Itasca,zebra mussel,2013,connected to Winnibigoshish (11-0147),31085200
Little Elk,Sherburne,Eurasian watermilfoil,2004,2002,71005500
Little Fork River from 100 feet upstream of Highway 11 downstream to the Rainy River,Koochiching,spiny waterflea,2007,connected to Rainy River,
Little Hanging Horn,Carlton,Eurasian watermilfoil,2016,2016,9003500
Little Horseshoe,Chisago,Eurasian watermilfoil,2015,2015,13008000
Little Jay Gould,Itasca,zebra mussel,2019,connected to Blandin Reservoir (31-0533),31056600
Little John ,Cook,spiny waterflea,2009,2009,16002600
Little Long,Hennepin,Eurasian watermilfoil,1995,1991,27017900
Little Mary,Wright,Eurasian watermilfoil,2007,2006,86013900
Little McDonald,Otter Tail,zebra mussel,2013,connected to Paul Rausch and Kerbs,56032800
Little Mud,Meeker,Eurasian watermilfoil,2009,2009,47009600
Little Osakis,Todd,zebra mussel,2016,connected to Osakis (77-0215),77020100
Little Pelican,Otter Tail,flowering rush,2021,2021,56076100
Little Pelican,Otter Tail,zebra mussel,2009,2009,56076100
Little Pine,Aitkin,zebra mussel,2020,connected to Farm Island (01-0159),1017600
Little Pine,Crow Wing,zebra mussel,2014,2013,18026600
Little Pine,Otter Tail,zebra mussel,2020,connected to East Loon (56-0523),56014200
Little Rabbit,Crow Wing,zebra mussel,2006,2014,18013900
Little Red Sand,Cass,zebra mussel,2020,connected to Sylvan (11-0304),11031800
Little Rice,Beltrami,zebra mussel,2014,connected to Cass (04-0030),4001500
Little Rock,Benton,zebra mussel,2006,connected to Mississippi River,5001300
Little Rock Lake Channel,Benton,zebra mussel,2006,connected to Mississippi River,5001200
Little Rose,Otter Tail,zebra mussel,2021,Connected to Scalp (56035800),56036500
Little Sand,Itasca,zebra mussel,2013,2013,31085300
Little Sauk,Todd,zebra mussel,2017,2017,77016400
Little Sioux River and its tributaries,Jackson,bighead carp,2012,connected water,
Little Sioux River and its tributaries,Jackson,silver carp,2012,connected water,
Little Spirit,Jackson,bighead carp,2012,connected water,32002400
Little Spirit,Jackson,silver carp,2012,connected water,32002400
Little Vermilion,St. Louis,spiny waterflea,2007,2007,69060800
Little Waverly,Wright,Eurasian watermilfoil,1995,1992,86010600
Little Waverly,Wright,zebra mussel,2021,Connected to Waverly (86-0114),86010600
Little Winnibigoshish,Itasca,faucet snail,2010,connected to Winnibigoshish (11-0147),31085000
Little Winnibigoshish,Itasca,zebra mussel,2013,2017,31085000
Lizzie,Otter Tail,zebra mussel,2009,2009,56076001
Lizzie,Otter Tail,zebra mussel,2009,2009,56076002
Lobster,Douglas,zebra mussel,2014,2016,21014400
Locke,Anoka,Eurasian watermilfoil,2021,2021,2007700
Locke,Wright,Eurasian watermilfoil,2011,2011,86016800
Locke,Wright,zebra mussel,2021,2021,86016800
Loeb,Ramsey,Eurasian watermilfoil,2004,2003,62023100
Lomond,Clearwater,zebra mussel,2019,2019,15008100
Long,Hennepin,Eurasian watermilfoil,1995,1992,27016000
Long,Isanti,Eurasian watermilfoil,2007,2006,30007200
Long,Ramsey,Eurasian watermilfoil,2015,2015,62006700
Long,Washington,Eurasian watermilfoil,2006,2005,82011800
Long,Washington,Eurasian watermilfoil,2009,2009,82002100
Long,Washington,Eurasian watermilfoil,2008,2007,82013000
Long,Washington,Eurasian watermilfoil,2016,2016,82003000
Long,Hubbard,faucet snail,2017,2017,29016100
Long,Becker,zebra mussel,2020,2020,3038300
Long,Hubbard,zebra mussel,2020,2020,29016100
Long,Kandiyohi,zebra mussel,2022,2022,34019200
Long,Otter Tail,zebra mussel,2018,2018,56078400
Long,Otter Tail,zebra mussel,2018,connected to East Loon (56-0523),56038800
Long,Ramsey,zebra mussel,2019,2019,62006700
Long,Stearns,zebra mussel,2021,2021,73013900
Long (Tame Fish),Crow Wing,Eurasian watermilfoil,2010,2010,18000200
Long / Tame Fish,Crow Wing,zebra mussel,2020,2020,18000200
Long Lake,Douglas,zebra mussel,2014,connected to Maple (21-0079),21008900
Long Prairie River including 500 feet upstream into its tributaries ,Multiple (Cass Douglas Morrison and Todd),zebra mussel,2009,2009,
Loon,Jackson,bighead carp,2012,connected water,32002000
Loon,Jackson,silver carp,2012,connected water,32002000
Loon,St. Louis,spiny waterflea,2009,2008,69047000
Loon (Island-Loon),Crow Wing,zebra mussel,2014,connected to Whitefish chain,18026800
Loon Creek between Loon and Spirit,Jackson,bighead carp,2012,connected water,
Loon Creek between Loon and Spirit,Jackson,silver carp,2012,connected water,
Lottie (Taylor),Douglas,zebra mussel,2011,connected to Brophy,21010500
Lotus,Carver,brittleleaf naiad,2017,2017,10000600
Lotus,Carver,Eurasian watermilfoil,1995,1991,10000600
Lotus,Hennepin,zebra mussel,2019,2019,10000600
Louisa,Wright,Eurasian watermilfoil,2022,2022,86028200
Louise,Douglas,zebra mussel,2014,2015,21009400
Louise Mine,Crow Wing,Eurasian watermilfoil,2009,2009,18074600
Louise Mine,Crow Wing,zebra mussel,2020,2020,18044004
Love,Crow Wing,zebra mussel,2010,2015,18038800
Lower Cullen,Crow Wing,zebra mussel,2016,2016,18040300
Lower Hay,Crow Wing,zebra mussel,2014,2013,18037800
Lower Mission,Crow Wing,Eurasian watermilfoil,2008,2008,18024300
Lower Orono,Sherburne,zebra mussel,2020,2020,71001302
Lower Prior,Scott,Eurasian watermilfoil,1995,1991,70002600
Lower Prior,Scott,zebra mussel,2009,2009,70002600
Lower Spunk,Stearns,Eurasian watermilfoil,2014,2014,73012300
Lower Twin,Wadena,faucet snail,2009,2009,80003000
Lower Watab,Stearns,zebra mussel,2014,connected water,73007100
Lucy,Carver,Eurasian watermilfoil,2007,2006,10000700
Lundsten,Carver,Eurasian watermilfoil,2019,2019,10004300
Lura,Blue Earth,Eurasian watermilfoil,2005,2004,7007900
Madison,Blue Earth,Eurasian watermilfoil,2010,2010,7004400
Magda,Hennepin,Eurasian watermilfoil,2015,2015,27006500
Mahnomen,Crow Wing,zebra mussel,2021,2021,18012600
Mahnomen Mine #1,Crow Wing,zebra mussel,2017,2017,18044001
Mahnomen Mine #2,Crow Wing,zebra mussel,2017,2017,18044002
Mahnomen Mine #3,Crow Wing,zebra mussel,2017,connected to Mahnomen Mine Pit #1 and #2 (18-0440-01 and 18-0440-02),18044003
Mandall,Chisago,Eurasian watermilfoil,2021,2021,13007400
Mangan Mine Pit,Crow Wing,zebra mussel,2016,2016,18074400
Mantrap,Hubbard,Eurasian watermilfoil,2020,2020,29015100
Manuella,Meeker,Eurasian watermilfoil,2006,2005,47005000
Maple,Wright,Eurasian watermilfoil,2007,2007,86013401
Maple,Wright,Eurasian watermilfoil,2007,2007,86013403
Maple,Douglas,zebra mussel,2014,2013,21007900
Maple (Northeast Bay),Wright,zebra mussel,2019,connected to Upper Maple (86-0134-01),86013403
Maple (Upper Maple),Wright,flowering rush,2015,2015,86013401
Maple (Upper Maple),Wright,flowering rush,2015,2015,86013403
Margaret,Cass,zebra mussel,2010,connected to Gull (11-0305),11022200
Marie,Stearns,Eurasian watermilfoil,2017,2017,73001400
Marion,Dakota,Eurasian watermilfoil,1998,1998,19002600
Marion,Dakota,zebra mussel,2017,2017,19002600
Marquette,Beltrami,zebra mussel,2018,connected to Bemidji (04-0130),4014200
Marshan,Anoka,Eurasian watermilfoil,2010,2010,2000700
Mary,Crow Wing,Eurasian watermilfoil,2017,2017,18018500
Mary,Todd,Eurasian watermilfoil,2018,2018,77001900
Mary,Wright,Eurasian watermilfoil,1997,1997,86015600
Mary,Douglas,zebra mussel,2014,2013,21009200
Maud,Becker,zebra mussel,2016,2016,3050000
Mazaska,Rice,Eurasian watermilfoil,2010,2010,66003900
McCarron,Ramsey,Eurasian watermilfoil,2000,2000,62005400
McCarron,Ramsey,zebra mussel,2019,2019,62005400
McColl,Scott,Eurasian watermilfoil,2009,2009,70001700
McCormack,St. Louis,Eurasian watermilfoil,2013,2012,69091400
McCraney,Mahnomen,faucet snail,2015,2015,44008000
McDonough,Dakota,Eurasian watermilfoil,2016,2016,19007600
McFarland,Cook,spiny waterflea,2005,,16002700
McKinney,Itasca,Eurasian watermilfoil,1999,1999,31037000
McMahon,Scott,Eurasian watermilfoil,2007,2007,70005000
Meadowbrook,Hennepin,zebra mussel,2010,connected to Minnehaha Creek,27005400
Medicine,Hennepin,Eurasian watermilfoil,1995,1989,27010400
Medicine,Hennepin,starry stonewort,2018,2018,27010400
Medicine,Hennepin,zebra mussel,2017,2017,27010400
Melissa,Becker,flowering rush,2007,1985,3047500
Melissa,Becker,zebra mussel,2014,2014,3047500
Melrose,Stearns,zebra mussel,2018,connected by the Sauk River between Sauk (77-0150) and Becker (73-0156),73025100
Mesabi Mt. Pit,St. Louis,zebra mussel,2019,2019,69129200
Middle,Otter Tail,zebra mussel,2020,connected to Eagle (56-0253),56025200
Middle Cormorant,Becker,zebra mussel,2019,connected to Upper Cormorant (03-0588),3060200
Middle Jefferson,Le Sueur,Eurasian watermilfoil,2010,2010,40009204
Middle Pomme de Terre,Stevens,zebra mussel,2018,connected - zebra mussels confirmed in Pomme de Terre River between Middle and North Pomme de Terre in 2018,75007400
Middle Spunk,Stearns,Eurasian watermilfoil,2014,2014,73012800
Mill,Becker,flowering rush,2009,2008,3037700
Mill Lake,Douglas,zebra mussel,2014,2015,21018000
Mill Pond,Becker,zebra mussel,2014,connected to Melissa (03-0475),3037700
Mille Lacs,Mille Lacs,Eurasian watermilfoil,1999,1998,48000200
Mille Lacs,Mille Lacs,spiny waterflea,2009,2009,48000200
Mille Lacs,Mille Lacs,zebra mussel,2006,2005,48000200
Mille Lacs tributaries from their mouths upstream to the posted boundaries,Multiple (Aitkin Crow Wing and Mille Lacs),Eurasian watermilfoil,1999,1998,
Mille Lacs tributaries from their mouths upstream to the posted boundaries,Multiple (Aitkin Crow Wing and Mille Lacs),spiny waterflea,2009,connected to Mille Lacs (48-0002),
Mille Lacs tributaries from their mouths upstream to the posted boundaries,Multiple (Aitkin Crow Wing and Mille Lacs),zebra mussel,2006,connected to Mille Lacs (48-0002),
Miller,Carver,zebra mussel,2018,2018,10002900
Miller,Crow Wing,zebra mussel,2006,connected to Mississippi River,18013300
Miller Creek from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007,connected water,
Miltona,Douglas,zebra mussel,2013,2012,21008300
Mina,Douglas,zebra mussel,2014,connected to Mary (21-0092),21010800
Mineral,Otter Tail,zebra mussel,2019,connected to Swan (56-0781),56058900
Mink,Wright,Eurasian watermilfoil,2004,2003,86008800
Mink,Wright,Eurasian watermilfoil,2014,2013,86022900
Mink,Wright,zebra mussel,2023,connected to Buffalo (86-0090),86008800
Minnehaha Creek,Hennepin,Eurasian watermilfoil,1995,1989,
Minnehaha Creek,Hennepin,Eurasian watermilfoil,2007,1989,
Minnehaha Creek,Hennepin,flowering rush,2009,2009,
Minnehaha Creek,Hennepin,flowering rush,2009,2009,
Minnehaha Creek between Minnetonka and Nokomis,Hennepin,zebra mussel,2010,2010,
Minnehaha Creek between Minnetonka and Nokomis,Hennepin,zebra mussel,2010,2010,
Minnehaha Marsh,Hennepin,zebra mussel,2010,connected to Minnehaha Creek,27008400
Minnesota River,Multiple (Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),bighead carp,2017,2016,
Minnesota River,Multiple (Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),grass carp,2017,2015,
Minnesota River,Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey,zebra mussel,2017,2017,87018700
Minnesota River,Multiple (Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),zebra mussel,2017,2017,
Minnesota River,Multiple (Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),zebra mussel,2017,2017,
Minnesota River,Multiple (Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),zebra mussel,2017,2017,
Minnesota River,Multiple (Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),zebra mussel,2017,2017,
Minnesota River,Multiple (Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),zebra mussel,2017,2017,
Minnesota River,Multiple (Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),zebra mussel,2017,2017,
Minnesota River - Granite Falls,Yellow Medicine,zebra mussel,2016,2016,87018700
Minnesota River - Lac Qui Parle,Lac qui Parle Chippewa Swift,zebra mussel,2016,2016,37004600
Minnesota River - Minnesota Falls,Multiple (Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),zebra mussel,2017,2017,87018700
Minnetonka,Hennepin,Eurasian watermilfoil,1995,1987,27013300
Minnetonka,Hennepin,flowering rush,2009,2009,27013300
Minnetonka,Hennepin,zebra mussel,2010,2010,27013300
Minnewashta,Carver,Eurasian watermilfoil,1995,1989,10000900
Minnewashta,Carver,zebra mussel,2016,2016,10000900
Minnewaska,Pope,Eurasian watermilfoil,1998,1998,61013000
Minnewaska,Pope,starry stonewort,2017,2017,61013000
Minnewaska,Pope,zebra mussel,2012,2012,61013000
Minnie-Belle,Meeker,Eurasian watermilfoil,2010,2010,47011900
Minnie-Belle,Meeker,zebra mussel,2020,2020,47011900
Mississippi River -  U.S. Lock & Dam #3 Pool (main channel),Goodhue,flowering rush,2021,2021,25001700
Mississippi River -  U.S. Lock & Dam #3 Pool (WI),Multiple,flowering rush,2021,2021,25001799
Mississippi River -  U.S. Lock & Dam #4 Pool,Multiple,faucet snail,2016,2016,79000599
Mississippi River -  U.S. Lock & Dam #4 Pool,multiple,flowering rush,2020,2020,79000500
Mississippi River -  U.S. Lock & Dam #5 Pool (main channel),Multiple,faucet snail,2016,2016,79000199
Mississippi River -  U.S. Lock & Dam #5 Pool (main channel),multiple,flowering rush,2020,2020,79000100
Mississippi River -  U.S. Lock & Dam #5A Pool (main channel),Multiple,faucet snail,2016,2016,85001399
Mississippi River -  U.S. Lock & Dam #5A Pool (main channel),multiple,flowering rush,2021,2021,85001300
Mississippi River -  U.S. Lock & Dam #6 Pool,Multiple,faucet snail,2016,connected to other Mississippi River pools,85000299
Mississippi River -  U.S. Lock & Dam #6 Pool,multiple,flowering rush,2021,2021,85000200
Mississippi River -  U.S. Lock & Dam #6 Pool (WI),NOT IN MN,bighead carp,2012,2012,85000299
Mississippi River -  U.S. Lock & Dam #6 Pool (WI),NOT IN MN,Eurasian watermilfoil,2007,1990,85000299
Mississippi River -  U.S. Lock & Dam #6 Pool (WI),NOT IN MN,grass carp,2015,2009,85000299
Mississippi River -  U.S. Lock & Dam #6 Pool (WI),NOT IN MN,silver carp,2012,2012,85000299
Mississippi River -  U.S. Lock & Dam #6 Pool (WI),NOT IN MN,zebra mussel,2007,1992,85000299
Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,bighead carp,2012,connected to other Mississippi River pools,85000100
Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,Eurasian watermilfoil,2007,1990,85000100
Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,faucet snail,2013,Confirm or connected year unknown,85000100
Mississippi River -  U.S. Lock & Dam #7 Pool,multiple,flowering rush,2021,2021,85000100
Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,grass carp,2015,connected to other Mississippi River pools,85000100
Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,silver carp,2012,2008,85000100
Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,zebra mussel,2007,1992,85000100
Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,bighead carp,2012,2009,28000599
Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,Eurasian watermilfoil,2007,1990,28000599
Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,faucet snail,2013,Confirm or connected year unknown,28000599
Mississippi River -  U.S. Lock & Dam #8 Pool,multiple,flowering rush,2020,2020,28000500
Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,grass carp,2015,2008,28000599
Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,silver carp,2012,2008,28000599
Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,zebra mussel,2007,1992,28000599
Mississippi River -  U.S. Lock & Dam #9 Pool,Houston,flowering rush,2021,2021,28000100
Mississippi River - Blackbird Slough,Winona,bighead carp,2012,2012,85000203
Mississippi River - Blackbird Slough,Winona,Eurasian watermilfoil,2007,1990,85000203
Mississippi River - Blackbird Slough,Winona,grass carp,2015,2009,85000203
Mississippi River - Blackbird Slough,Winona,silver carp,2012,2012,85000203
Mississippi River - Blackbird Slough,Winona,zebra mussel,2007,1992,85000203
Mississippi River - Blandin Reservoir,Itasca,zebra mussel,2018,2018,31053300
Mississippi River - Stump,Beltrami,zebra mussel,2018,2018,4013001
Mississippi River - Sturgeon,Goodhue,bighead carp,2012,connected to other Mississippi River pools,25001701
Mississippi River - Sturgeon,Goodhue,Eurasian watermilfoil,2007,1990,25001701
Mississippi River - Sturgeon,Goodhue,grass carp,2015,connected to other Mississippi River pools,25001701
Mississippi River - Sturgeon,Goodhue,silver carp,2012,connected to other Mississippi River pools,25001701
Mississippi River - Sturgeon,Goodhue,zebra mussel,2007,1992,25001701
Mississippi River - Twin,Goodhue,bighead carp,2012,connected to other Mississippi River pools,25001703
Mississippi River - Twin,Goodhue,Eurasian watermilfoil,2007,1990,25001703
Mississippi River - Twin,Goodhue,grass carp,2015,connected to other Mississippi River pools,25001703
Mississippi River - Twin,Goodhue,silver carp,2012,connected to other Mississippi River pools,25001703
Mississippi River - Twin,Goodhue,zebra mussel,2007,1992,25001703
Mississippi River - West Newton Chute,Wabasha,bighead carp,2012,connected to other Mississippi River pools,79000104
Mississippi River - West Newton Chute,Wabasha,Eurasian watermilfoil,2007,1990,79000104
Mississippi River - West Newton Chute,Wabasha,grass carp,2015,2009,79000104
Mississippi River - West Newton Chute,Wabasha,silver carp,2012,connected to other Mississippi River pools,79000104
Mississippi River - West Newton Chute,Wabasha,zebra mussel,2007,1992,79000104
Mississippi River between Wolf Andrusia Cass and  Winnibigoshish,Multiple (Beltrami Cass and Itasca),zebra mussel,2014,connected to Cass (04-0030),
Mississippi River from the Knutson Dam downstream to Little Winnibigoshish Lake (31-0850) ,Multiple (Beltrami Cass and Itasca),zebra mussel,2013,connected to Winnibigoshish (11-0147),
Mississippi River from the Knutson Dam downstream to Little Winnibigoshish Lake (31-0850),Multiple (Beltrami Cass and Itasca),zebra mussel,2013,connected to Winnibigoshish (11-0147),
Mississippi River from 500 feet upstream of the mouth of the Pine River in Crow Wing County to Upper St. Anthony Falls including 500 feet upstream into its tributaries,Multiple,zebra mussel,2007,2005,
Mississippi River from the Knutson Dam downstream to Lake Winnibigoshish and between Lake Winnibigoshish and the confluence of the main channel of the Mississippi River and White Oak Lake branch of the Mississippi River in the SE1/4 of the NW1/4 of Sect,Multiple (Beltrami Cass and Itasca),faucet snail,2009,2010,
Mississippi River Pool 1,Multiple,bighead carp,2015,connected to Mississippi River Pool 2,27000300
Mississippi River Pool 1,Multiple,Eurasian watermilfoil,1995,1990,27000300
Mississippi River Pool 1,Multiple,Eurasian watermilfoil,2007,1990,
Mississippi River Pool 1,Multiple,Eurasian watermilfoil,2007,1990,
Mississippi River Pool 1,Multiple,grass carp,2015,connected to Mississippi River Pool 2,27000300
Mississippi River Pool 1,Multiple,silver carp,2015,connected to Mississippi River Pool 2,27000300
Mississippi River Pool 1 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,27000300
Mississippi River Pool 1 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,
Mississippi River Pool 1 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995,1992,
Mississippi River Pool 2,Multiple,bighead carp,2012,2014,19000502
Mississippi River Pool 2,Multiple,bighead carp,2012,2014,19000503
Mississippi River Pool 2,Multiple,bighead carp,2012,2014,19000504
Mississippi River Pool 2,Multiple,bighead carp,2012,2014,19000505
