,WaterBody,Counties,List of Aquatic Invasive Species,Year Listed Infested
270,Emily,Pope,Eurasian watermilfoil,2014
271,Emily,Pope,zebra mussel,2012
272,Emma,Wright,Eurasian watermilfoil,2007
273,Erie,Meeker,Eurasian watermilfoil,2014
274,Eunice,Becker,zebra mussel,2015
275,Faille,Todd,zebra mussel,2016
276,Fall,Lake,spiny waterflea,2014
277,Fannie,Isanti,Eurasian watermilfoil,2019
278,Farm Island,Aitkin,zebra mussel,2020
279,Firemen?s,Carver,Eurasian watermilfoil,1997
280,First Crow Wing,Hubbard,faucet snail,2011
281,First River Lake,Itasca,faucet snail,2009
282,First River Lake,Itasca,zebra mussel,2013
283,Fish,Chisago,Eurasian watermilfoil,2007
284,Fish,Dakota,Eurasian watermilfoil,2009
285,Fish,Hennepin,Eurasian watermilfoil,1995
286,Fish,Wright,Eurasian watermilfoil,2004
287,Fish,St. Louis,spiny waterflea,1995
288,Fish,Hennepin,zebra mussel,2022
289,Fish,Otter Tail,zebra mussel,2009
290,Fish,Wright,zebra mussel,2006
291,Fish Trap,Morrison,zebra mussel,2015
292,Fish Trap Creek from Fish Trap Lake to the Long Prairie River,Multiple (Morrison and Todd),zebra mussel,2015
293,Florida,Kandiyohi,Eurasian watermilfoil,2009
294,Florida,Kandiyohi,zebra mussel,2016
295,Flour,Cook,spiny waterflea,2005
296,Floyd,Becker,zebra mussel,2018
297,Forest,Hennepin,Eurasian watermilfoil,1995
298,Forest,Washington,Eurasian watermilfoil,2015
299,Forest,Washington,flowering rush,2007
300,Forest,Hennepin,zebra mussel,2012
301,Forest,Washington,zebra mussel,2015
302,Fourth Crow Wing,Hubbard,faucet snail,2019
303,Fox,Rice,Eurasian watermilfoil,2009
304,Frances,Le Sueur,Eurasian watermilfoil,2017
305,Francis,Meeker,zebra mussel,2021
306,Franklin,Otter Tail,zebra mussel,2016
307,Fredrickson Slough,Sherburne,Eurasian watermilfoil,2018
308,Fremont,Murray,zebra mussel,2022
309,French,Aitkin,Eurasian watermilfoil,2019
310,French,Rice,Eurasian watermilfoil,2009
311,French,Wright,Eurasian watermilfoil,2002
312,Galpin,Hennepin,Eurasian watermilfoil,2001
313,Games,Kandiyohi,Eurasian watermilfoil,2014
314,Games,Kandiyohi,zebra mussel,2018
315,Garfield,Hubbard,zebra mussel,2017
316,Geneva,Douglas,Eurasian watermilfoil,2022
317,Geneva,Douglas,zebra mussel,2009
318,George,Anoka,Eurasian watermilfoil,1998
319,George,Olmsted,Eurasian watermilfoil,1995
320,George,Hubbard,faucet snail,2018
321,George,Mahnomen,faucet snail,2022
322,George,Kandiyohi,zebra mussel,2017
323,George Watch,Anoka,Eurasian watermilfoil,2016
324,German,Le Sueur,Eurasian watermilfoil,2004
325,Gervais,Ramsey,Eurasian watermilfoil,1995
326,Gervais Mill Pond,Ramsey,Eurasian watermilfoil,2014
327,Gilbert,Crow Wing,zebra mussel,2014
328,Gilbert Pit,St. Louis,Eurasian watermilfoil,1999
329,Gilbert Pit (Ore-be-gone),St. Louis,zebra mussel,2013
330,Gilchrist,Pope,Eurasian watermilfoil,1997
331,Gilchrist,Pope,zebra mussel,2019
332,Girl,Cass,Eurasian watermilfoil,2017
333,Girl,Cass,zebra mussel,2021
334,Goodview,Winona,Eurasian watermilfoil,2012
335,Goodview,Winona,zebra mussel,2018
336,Goose,Chisago,Eurasian watermilfoil,2016
337,Goose,Washington,Eurasian watermilfoil,2018
338,Goose,Wright,Eurasian watermilfoil,2000
339,Goose,Wright,zebra mussel,2023
340,Grand,Stearns,starry stonewort,2017
341,Grand,Stearns,zebra mussel,2022
342,Granite,Wright,Eurasian watermilfoil,2010
343,Granite,Wright,flowering rush,2018
344,Grants,Douglas,flowering rush,2019
345,Grants,Douglas,zebra mussel,2019
346,Grass,Multiple (Stearns and Wright),zebra mussel,2015
347,Gray's Bay Outlet (wetland),Hennepin,zebra mussel,2010
348,Great Northern,Stearns,zebra mussel,2018
349,Green,Chisago,Eurasian watermilfoil,1995
350,Green,Isanti,Eurasian watermilfoil,2000
351,Green,Kandiyohi,Eurasian watermilfoil,2000
352,Green,Kandiyohi,zebra mussel,2014
353,Green's,Cass,zebra mussel,2010
354,Greenwood,Cook,spiny waterflea,2005
355,Grill Lake,Douglas,zebra mussel,2014
356,Grovers,Jackson,bighead carp,2012
357,Grovers,Jackson,silver carp,2012
358,Guernsey,Todd,zebra mussel,2016
359,Gull,Cass,zebra mussel,2010
360,Gull,Cass,zebra mussel,2010
361,Gull River,Cass,zebra mussel,2010
362,Gunflint,Cook,spiny waterflea,2007
363,Hale,Itasca,Eurasian watermilfoil,2014
364,Half-Moon,Crow Wing,zebra mussel,2006
365,Ham ,Anoka,Eurasian watermilfoil,2014
366,Hand,Cass,zebra mussel,2019
367,Hanks,Crow Wing,Eurasian watermilfoil,2019
368,Harriet,Hennepin,Eurasian watermilfoil,1995
369,Harriet,Hennepin,zebra mussel,2017
370,Hart,Itasca,flowering rush,2007
371,Henchien,Kandiyohi,zebra mussel,2018
372,Henderson,Kandiyohi,Eurasian watermilfoil,2018
373,Henderson,Kandiyohi,zebra mussel,2021
374,Henry,Douglas,zebra mussel,2022
375,Hiawatha,Hennepin,Eurasian watermilfoil,1995
376,Hiawatha  ,Hennepin,zebra mussel,2010
377,Highland,Itasca,flowering rush,2021
378,Holland,Dakota,Eurasian watermilfoil,2009
379,Holman,Itasca,flowering rush,2009
380,Holt,Crow Wing,zebra mussel,2021
381,Hooper Creek from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007
382,Hoot,Otter Tail,zebra mussel,2017
383,Horseshoe,St. Louis,Eurasian watermilfoil,2000
384,Horseshoe,Stearns,Eurasian watermilfoil,2021
385,Horseshoe,Washington,Eurasian watermilfoil,2013
386,Horseshoe,Le Sueur,flowering rush,2014
387,Horseshoe,Crow Wing,zebra mussel,2021
388,Horseshoe,Stearns,zebra mussel,2018
389,Houghtaling Creek downstream of the mouth of the unnamed creek draining Artlip Lake,Lake,zebra mussel,2014
390,Howard,Wright,Eurasian watermilfoil,2004
391,Hubert,Crow Wing,zebra mussel,2016
392,Hunt,Rice,Eurasian watermilfoil,2015
393,Huntington Mine,Crow Wing,zebra mussel,2016
394,Husen Marsh,Jackson,bighead carp,2012
395,Husen Marsh,Jackson,silver carp,2012
396,Hydes,Carver,Eurasian watermilfoil,2014
397,Ice,Itasca,Eurasian watermilfoil,1999
398,Ida,Becker,zebra mussel,2015
399,Ida,Douglas,zebra mussel,2013
400,Illinois,Jackson,bighead carp,2012
401,Illinois,Jackson,silver carp,2012
402,Independence,Hennepin,Eurasian watermilfoil,1995
403,Independence,Hennepin,zebra mussel,2014
404,Indian,Nobles,bighead carp,2012
405,Indian,Douglas,Eurasian watermilfoil,2018
406,Indian,Wright,Eurasian watermilfoil,2004
407,Indian,Nobles,silver carp,2012
408,Indian,Otter Tail,zebra mussel,2019
409,Irene,Douglas,zebra mussel,2012
410,Iron,St. Louis,spiny waterflea,2014
411,Irving,Beltrami,zebra mussel,2018
412,Isabelle,Dakota,zebra mussel,2018
413,Island,Anoka,Eurasian watermilfoil,2022
414,Island,Ramsey,Eurasian watermilfoil,1995
415,Island,St. Louis,spiny waterflea,1995
416,Island,Crow Wing,zebra mussel,2014
417,Jane,Washington,Eurasian watermilfoil,2012
418,Jay Gould,Itasca,zebra mussel,2019
419,Jefferson,Le Sueur,Eurasian watermilfoil,2015
420,Jefferson,Le Sueur,Eurasian watermilfoil,2015
421,Jefferson,Le Sueur,Eurasian watermilfoil,2015
422,Jefferson,Le Sueur,Eurasian watermilfoil,2015
423,Jessie,Douglas,zebra mussel,2009
424,Jewett,Otter Tail,zebra mussel,2018
425,Johanna,Ramsey,Eurasian watermilfoil,2016
426,Johanna,Ramsey,zebra mussel,2018
427,John,Wright,Eurasian watermilfoil,2011
428,John,Wright,zebra mussel,2015
429,Johnson Creek from the Rainy River upstream to 500 feet beyond the first road crossing,Lake of the Woods,spiny waterflea,2007
430,Jolly Ann,Otter Tail,zebra mussel,2020
431,Jonathan,Carver,Eurasian watermilfoil,2016
432,Josephine,Ramsey,Eurasian watermilfoil,2013
433,Judicial Ditch No. 35 from S14 T102N R36W to Rush,Jackson,bighead carp,2012
434,Judicial Ditch No. 35 from S14 T102N R36W to Rush,Jackson,silver carp,2012
435,Judicial Ditch No. 8 between Clear and Loon,Jackson,bighead carp,2012
436,Judicial Ditch No. 8 between Clear and Loon,Jackson,silver carp,2012
437,Judicial ditches connected to designated infested waters in Jackson County,Jackson,bighead carp,2012
438,Judicial ditches connected to designated infested waters in Jackson County,Jackson,bighead carp,2012
439,Judicial ditches connected to designated infested waters in Jackson County,Jackson,silver carp,2012
440,Judicial ditches connected to designated infested waters in Jackson County,Jackson,silver carp,2012
441,Juergens,Todd,zebra mussel,2017
442,Kabetogama,St. Louis,spiny waterflea,2007
443,Keller,Dakota,Eurasian watermilfoil,2006
444,Keller,Ramsey,Eurasian watermilfoil,1995
445,Kelser's Pond,Carver,Eurasian watermilfoil,2009
446,Kerbs,Otter Tail,zebra mussel,2013
447,Kimball,Crow Wing,Eurasian watermilfoil,2007
448,Kimball,Crow Wing,zebra mussel,2016
449,Kitchi,Beltrami,zebra mussel,2014
450,Knaus,Stearns,zebra mussel,2017
451,Knife,Kanabec,Eurasian watermilfoil,1995
452,Knife,Kanabec,faucet snail,2016
453,Kohlmans,Ramsey,Eurasian watermilfoil,2000
454,Koronis,Stearns,zebra mussel,2022
455,Koronis (includes Mud),Stearns,starry stonewort,2015
456,Koronis (main lake),Stearns,starry stonewort,2015
457,Krays,Stearns,zebra mussel,2017
458,Kroon,Chisago,Eurasian watermilfoil,2021
459,Lac La Croix,St. Louis,spiny waterflea,2009
460,Lac Lavon,Dakota,brittleleaf naiad,2007
461,Lac Lavon,Dakota,Eurasian watermilfoil,1995
462,Lake of the Isles,Hennepin,Eurasian watermilfoil,2007
463,Lake of the Woods,Lake of the Woods,spiny waterflea,2007
464,Lake of the Woods,Lake of the Woods,spiny waterflea,2007
465,Lake of the Woods,Lake of the Woods,spiny waterflea,2007
466,Lake of the Woods,Lake of the Woods,zebra mussel,2019
467,Lakewood Cemetery,Hennepin,Eurasian watermilfoil,2007
468,Langdon,Hennepin,Eurasian watermilfoil,2019
469,Langton,Ramsey,Eurasian watermilfoil,2008
470,Latoka,Douglas,zebra mussel,2014
471,Le Homme Dieu,Douglas,Eurasian watermilfoil,2012
472,Le Homme Dieu,Douglas,zebra mussel,2009
473,Leech,Cass,Eurasian watermilfoil,2005
474,Leech,Cass,starry stonewort,2021
475,Leech,Cass,zebra mussel,2016
476,Leech Lake River between Mud Lake and Mississippi River,Cass,faucet snail,2010
477,Leek,Otter Tail,zebra mussel,2021
478,Leif,Becker,zebra mussel,2021
479,Leven,Pope,zebra mussel,2021
480,Libbs,Hennepin,Eurasian watermilfoil,1995
481,Libbs,Hennepin,zebra mussel,2012
482,Lida (North and South),Otter Tail,zebra mussel,2014
483,Lida (North and South),Otter Tail,zebra mussel,2014
484,Limestone,Wright,zebra mussel,2022
485,Linn,Chisago,Eurasian watermilfoil,2022
486,Linwood,Anoka,Eurasian watermilfoil,2014
487,Little,Chisago,Eurasian watermilfoil,2022
488,Little Birch,Todd,Eurasian watermilfoil,2004
489,Little Birch,Todd,zebra mussel,2016
490,Little Chippewa,Douglas,zebra mussel,2017
491,Little Comfort,Chisago,Eurasian watermilfoil,2021
492,Little Comfort,Chisago,zebra mussel,2017
493,Little Cut Foot,Itasca,faucet snail,2009
494,Little Cut Foot,Itasca,zebra mussel,2013
495,Little Elk,Sherburne,Eurasian watermilfoil,2004
496,Little Fork River from 100 feet upstream of Highway 11 downstream to the Rainy River,Koochiching,spiny waterflea,2007
497,Little Hanging Horn,Carlton,Eurasian watermilfoil,2016
498,Little Horseshoe,Chisago,Eurasian watermilfoil,2015
499,Little Jay Gould,Itasca,zebra mussel,2019
500,Little John ,Cook,spiny waterflea,2009
501,Little Long,Hennepin,Eurasian watermilfoil,1995
502,Little Mary,Wright,Eurasian watermilfoil,2007
503,Little McDonald,Otter Tail,zebra mussel,2013
504,Little Mud,Meeker,Eurasian watermilfoil,2009
505,Little Osakis,Todd,zebra mussel,2016
506,Little Pelican,Otter Tail,flowering rush,2021
507,Little Pelican,Otter Tail,zebra mussel,2009
508,Little Pine,Aitkin,zebra mussel,2020
509,Little Pine,Crow Wing,zebra mussel,2014
510,Little Pine,Otter Tail,zebra mussel,2020
511,Little Rabbit,Crow Wing,zebra mussel,2006
512,Little Red Sand,Cass,zebra mussel,2020
513,Little Rice,Beltrami,zebra mussel,2014
514,Little Rock,Benton,zebra mussel,2006
515,Little Rock Lake Channel,Benton,zebra mussel,2006
516,Little Rose,Otter Tail,zebra mussel,2021
517,Little Sand,Itasca,zebra mussel,2013
518,Little Sauk,Todd,zebra mussel,2017
519,Little Sioux River and its tributaries,Jackson,bighead carp,2012
520,Little Sioux River and its tributaries,Jackson,silver carp,2012
521,Little Spirit,Jackson,bighead carp,2012
